timeFrame	cpuPerc	memoryPerc	memoryUsed
136	16.7	97.2	2.021650432
137	21.4	97.3	2.022150144
138	99.0	97.8	2.03360256
139	62.2	98.5	2.047463424
140	20.2	98.5	2.047578112
141	17.7	98.5	2.047574016
142	48.0	98.5	2.048032768
143	16.5	98.5	2.048004096
144	15.6	98.5	2.048004096
145	27.3	98.5	2.047975424
146	16.7	98.5	2.047975424
147	32.7	98.5	2.048299008
148	15.5	98.5	2.048364544
149	100.0	98.5	2.048602112
150	58.6	98.2	2.041442304
151	22.0	98.2	2.041499648
152	19.8	98.2	2.041462784
153	19.6	98.2	2.04140544
154	21.9	98.2	2.041339904
155	87.1	98.2	2.041810944
156	15.3	98.2	2.041765888
157	16.2	98.2	2.04173312
158	30.9	98.2	2.041602048
159	16.5	98.3	2.043244544
160	100.0	98.2	2.0424704
161	94.1	98.2	2.042413056
162	19.6	98.0	2.037477376
163	18.4	97.7	2.031415296
164	35.4	97.5	2.026180608
165	15.8	97.2	2.020233216
166	32.7	97.0	2.015899648
167	28.6	96.7	2.011152384
168	18.2	96.5	2.006552576
169	13.4	96.5	2.006654976
170	16.5	96.5	2.00665088
171	15.3	96.5	2.006642688
172	19.1	96.5	2.006626304
173	14.4	96.5	2.006622208
174	17.9	96.5	2.006740992
175	17.5	96.5	2.006986752
176	100.0	96.5	2.00716288
177	100.0	96.6	2.008866816
178	38.0	96.6	2.008973312
179	40.2	96.7	2.009616384
180	21.4	96.7	2.00955904
181	18.4	96.7	2.009554944
182	32.7	96.7	2.010161152
183	16.5	96.7	2.010140672
184	22.7	96.7	2.010140672
185	100.0	96.7	2.010349568
186	61.9	96.6	2.008563712
187	27.8	96.3	2.002804736
188	25.3	96.1	1.9970048
189	22.9	95.8	1.991151616
190	16.7	95.6	1.987203072
191	25.0	95.3	1.980964864
192	16.7	95.3	1.9807232
193	24.5	95.3	1.980657664
194	15.2	95.3	1.980612608
195	15.5	95.3	1.980608512
196	16.3	95.3	1.980596224
197	25.0	95.3	1.980674048
198	16.7	95.3	1.981456384
199	17.5	95.3	1.981403136
200	100.0	95.3	1.9815424
201	72.2	95.3	1.981497344
202	50.0	95.3	1.98139904
203	19.4	95.3	1.981513728
204	16.8	95.3	1.981620224
205	17.2	95.3	1.981607936
206	18.8	95.4	1.98279168
207	26.0	95.4	1.983541248
208	17.3	95.4	1.983643648
209	26.8	95.4	1.983885312
210	18.4	95.4	1.983991808
211	20.0	95.4	1.983991808
212	29.9	95.4	1.984073728
213	99.0	95.4	1.984221184
214	44.9	95.4	1.984344064
215	15.5	95.4	1.984335872
216	16.5	95.5	1.984462848
217	35.4	95.5	1.98457344
218	33.3	95.5	1.984585728
219	16.7	95.5	1.984708608
220	15.6	95.5	1.984704512
221	16.7	95.5	1.984815104
222	36.7	95.5	1.985056768
223	18.7	95.9	1.99479296
224	99.0	97.4	2.024542208
225	66.0	98.5	2.047582208
226	36.1	98.5	2.047823872
227	14.4	98.5	2.047811584
228	16.7	98.5	2.047926272
229	16.7	98.5	2.04791808
230	17.9	98.5	2.048036864
231	41.4	98.5	2.048212992
232	19.4	98.5	2.048233472
233	18.0	98.5	2.048344064
234	12.5	98.5	2.048339968
235	14.3	98.5	2.048335872
