txSize	resTime	storjTime	time_WO_Storj	cpuPerc	memoryPerc	memoryUsed
92744.83333333333 	 10532 	 589 	 9943 	 18.2 	 50.8 	 1.592635392 
89367.5 	 10475 	 248 	 10227 	 50.0 	 50.8 	 1.594658816 
89367.5 	 8546 	 463 	 8083 	 37.5 	 50.9 	 1.59698944 
89371.5 	 9521 	 491 	 9030 	 13.3 	 50.8 	 1.594658816 
92756.83333333333 	 9556 	 847 	 8709 	 12.5 	 50.9 	 1.595121664 
89371.5 	 11497 	 839 	 10658 	 100.0 	 50.8 	 1.592905728 
89367.5 	 10531 	 883 	 9648 	 100.0 	 50.8 	 1.592905728 
89371.5 	 10569 	 884 	 9685 	 31.6 	 50.8 	 1.592905728 
89367.5 	 9525 	 372 	 9153 	 20.0 	 50.9 	 1.59698944 
89367.5 	 11523 	 821 	 10702 	 15.5 	 50.8 	 1.592905728 
89367.5 	 10492 	 443 	 10049 	 19.0 	 50.8 	 1.594658816 
92744.83333333333 	 9542 	 216 	 9326 	 21.4 	 50.9 	 1.59698944 
89367.5 	 11580 	 752 	 10828 	 50.0 	 50.8 	 1.592061952 
89367.5 	 10543 	 724 	 9819 	 14.9 	 50.9 	 1.595121664 
89367.5 	 11543 	 489 	 11054 	 13.9 	 50.8 	 1.592635392 
89371.5 	 11606 	 794 	 10812 	 100.0 	 50.8 	 1.592061952 
92744.83333333333 	 11573 	 904 	 10669 	 8.0 	 50.8 	 1.592061952 
92750.83333333333 	 11529 	 507 	 11022 	 100.0 	 50.8 	 1.592635392 
92744.83333333333 	 8583 	 275 	 8308 	 28.6 	 50.9 	 1.59698944 
89367.5 	 9183 	 762 	 8421 	 100.0 	 51.0 	 1.598234624 
89371.5 	 9168 	 810 	 8358 	 50.0 	 51.0 	 1.598234624 
92744.83333333333 	 9209 	 779 	 8430 	 26.3 	 51.0 	 1.598234624 
89367.5 	 9174 	 562 	 8612 	 22.3 	 51.0 	 1.598234624 
89371.5 	 8215 	 447 	 7768 	 100.0 	 51.0 	 1.598234624 
89371.5 	 9223 	 334 	 8889 	 20.8 	 50.9 	 1.59768576 
92744.83333333333 	 11850 	 736 	 11114 	 100.0 	 50.9 	 1.597362176 
92756.83333333333 	 11834 	 635 	 11199 	 40.3 	 50.9 	 1.597669376 
92744.83333333333 	 11871 	 1204 	 10667 	 100.0 	 50.9 	 1.597210624 
89371.5 	 11821 	 168 	 11653 	 63.6 	 50.9 	 1.597210624 
89367.5 	 11870 	 1011 	 10859 	 22.6 	 50.9 	 1.597210624 
89371.5 	 12844 	 981 	 11863 	 100.0 	 50.9 	 1.597362176 
92744.83333333333 	 11899 	 872 	 11027 	 60.0 	 50.9 	 1.597362176 
92756.83333333333 	 11867 	 1155 	 10712 	 17.4 	 50.9 	 1.597210624 
92744.83333333333 	 10932 	 407 	 10525 	 17.6 	 50.9 	 1.597210624 
89371.5 	 14139 	 676 	 13463 	 33.3 	 50.9 	 1.597054976 
89367.5 	 12254 	 655 	 11599 	 25.4 	 50.9 	 1.597730816 
89367.5 	 13187 	 393 	 12794 	 14.9 	 50.9 	 1.597612032 
89371.5 	 13214 	 197 	 13017 	 13.3 	 50.9 	 1.5971328 
89371.5 	 11253 	 516 	 10737 	 17.9 	 51.0 	 1.599602688 
92750.83333333333 	 13201 	 487 	 12714 	 100.0 	 50.9 	 1.597612032 
92744.83333333333 	 13198 	 518 	 12680 	 100.0 	 50.9 	 1.597612032 
92744.83333333333 	 11253 	 427 	 10826 	 75.0 	 51.0 	 1.599602688 
89371.5 	 13247 	 556 	 12691 	 20.9 	 50.9 	 1.597054976 
89371.5 	 11256 	 891 	 10365 	 19.7 	 51.0 	 1.599602688 
89367.5 	 12208 	 198 	 12010 	 30.0 	 51.0 	 1.599602688 
89367.5 	 12255 	 573 	 11682 	 20.0 	 51.0 	 1.599602688 
89371.5 	 13307 	 926 	 12381 	 16.7 	 50.9 	 1.5971328 
89371.5 	 12247 	 195 	 12052 	 14.7 	 51.0 	 1.59840256 
92750.83333333333 	 11301 	 163 	 11138 	 15.9 	 51.0 	 1.599602688 
89367.5 	 13297 	 724 	 12573 	 21.4 	 50.9 	 1.597054976 
92744.83333333333 	 12298 	 480 	 11818 	 24.3 	 50.9 	 1.597612032 
89371.5 	 11316 	 339 	 10977 	 30.0 	 51.0 	 1.599602688 
89371.5 	 12282 	 218 	 12064 	 100.0 	 51.0 	 1.59840256 
89367.5 	 14243 	 697 	 13546 	 33.3 	 50.9 	 1.597054976 
92744.83333333333 	 13286 	 634 	 12652 	 21.4 	 50.9 	 1.597054976 
92756.83333333333 	 12298 	 263 	 12035 	 42.9 	 51.0 	 1.598959616 
92744.83333333333 	 12331 	 701 	 11630 	 100.0 	 50.9 	 1.597730816 
89371.5 	 12251 	 664 	 11587 	 27.8 	 51.0 	 1.599602688 
92750.83333333333 	 12268 	 523 	 11745 	 20.7 	 51.0 	 1.599602688 
92750.83333333333 	 13308 	 871 	 12437 	 14.3 	 50.9 	 1.5971328 
92750.83333333333 	 17800 	 336 	 17464 	 33.3 	 51.1 	 1.603428352 
89371.5 	 17893 	 592 	 17301 	 100.0 	 51.1 	 1.600999424 
89371.5 	 16867 	 661 	 16206 	 22.6 	 51.1 	 1.603936256 
89371.5 	 17828 	 1032 	 16796 	 100.0 	 51.1 	 1.603936256 
92744.83333333333 	 18854 	 610 	 18244 	 20.0 	 51.1 	 1.600999424 
92744.83333333333 	 17895 	 665 	 17230 	 14.3 	 51.1 	 1.601253376 
89371.5 	 16888 	 290 	 16598 	 28.6 	 51.1 	 1.603428352 
89371.5 	 16913 	 535 	 16378 	 25.0 	 51.1 	 1.603682304 
89367.5 	 18857 	 186 	 18671 	 21.3 	 51.1 	 1.600999424 
89371.5 	 18841 	 220 	 18621 	 33.3 	 51.1 	 1.600999424 
89371.5 	 17878 	 421 	 17457 	 21.2 	 51.1 	 1.603268608 
92744.83333333333 	 16913 	 472 	 16441 	 20.0 	 51.1 	 1.603428352 
89371.5 	 17865 	 263 	 17602 	 22.2 	 51.1 	 1.602363392 
89371.5 	 17902 	 175 	 17727 	 17.0 	 51.1 	 1.602363392 
92744.83333333333 	 17857 	 365 	 17492 	 33.3 	 51.1 	 1.603428352 
92744.83333333333 	 18867 	 380 	 18487 	 22.2 	 51.1 	 1.600999424 
92750.83333333333 	 18853 	 309 	 18544 	 23.5 	 51.1 	 1.600999424 
92772.83333333333 	 17924 	 637 	 17287 	 100.0 	 51.1 	 1.603428352 
89371.5 	 17896 	 588 	 17308 	 33.3 	 51.1 	 1.603428352 
92760.83333333333 	 20849 	 574 	 20275 	 20.8 	 51.2 	 1.604263936 
92750.83333333333 	 16868 	 322 	 16546 	 35.0 	 51.4 	 1.61271808 
89371.5 	 18836 	 631 	 18205 	 29.6 	 51.4 	 1.61099776 
89367.5 	 20852 	 473 	 20379 	 35.7 	 51.2 	 1.606012928 
89371.5 	 19862 	 588 	 19274 	 33.3 	 51.2 	 1.606250496 
89367.5 	 18886 	 495 	 18391 	 19.3 	 51.3 	 1.608286208 
89371.5 	 21810 	 342 	 21468 	 25.8 	 51.1 	 1.60385024 
92750.83333333333 	 18873 	 632 	 18241 	 100.0 	 51.4 	 1.61099776 
92756.83333333333 	 18903 	 862 	 18041 	 24.0 	 51.3 	 1.608286208 
89371.5 	 17901 	 312 	 17589 	 18.6 	 51.3 	 1.61032192 
92750.83333333333 	 20823 	 364 	 20459 	 17.9 	 51.2 	 1.606012928 
89371.5 	 16850 	 622 	 16228 	 47.2 	 52.1 	 1.635311616 
89367.5 	 15871 	 402 	 15469 	 22.1 	 52.1 	 1.63536896 
92750.83333333333 	 20913 	 253 	 20660 	 18.3 	 51.2 	 1.604104192 
89371.5 	 16847 	 695 	 16152 	 50.0 	 52.2 	 1.635864576 
89367.5 	 21856 	 421 	 21435 	 100.0 	 51.1 	 1.60385024 
89371.5 	 16905 	 571 	 16334 	 34.2 	 51.8 	 1.624797184 
92744.83333333333 	 20868 	 221 	 20647 	 21.8 	 51.2 	 1.605599232 
89367.5 	 17892 	 634 	 17258 	 100.0 	 51.6 	 1.61947648 
89371.5 	 21875 	 263 	 21612 	 22.2 	 51.1 	 1.60385024 
89371.5 	 15941 	 338 	 15603 	 100.0 	 51.7 	 1.621069824 
92744.83333333333 	 16856 	 673 	 16183 	 29.0 	 52.2 	 1.635864576 
89371.5 	 21895 	 769 	 21126 	 28.4 	 51.2 	 1.604104192 
89367.5 	 17869 	 580 	 17289 	 100.0 	 51.6 	 1.61947648 
89367.5 	 17859 	 863 	 16996 	 26.3 	 51.6 	 1.619697664 
89371.5 	 19922 	 275 	 19647 	 26.1 	 51.3 	 1.608065024 
89367.5 	 19903 	 371 	 19532 	 25.0 	 51.3 	 1.608065024 
89367.5 	 19947 	 720 	 19227 	 100.0 	 51.2 	 1.606250496 
92744.83333333333 	 20878 	 543 	 20335 	 23.5 	 51.2 	 1.606250496 
89371.5 	 18882 	 690 	 18192 	 100.0 	 51.4 	 1.61099776 
92756.83333333333 	 20966 	 343 	 20623 	 20.0 	 51.2 	 1.604104192 
